Anderdon Fm	393.3000	387.7000	393.3000	387.7000
Anderson Cove	850.0000	541.0000	850.0000	541.0000
Anderson Sand Bed	59.2000	56.0000	59.2000	56.0000
Andes and Guyana Shield	4000.0000	541.0000	4000.0000	541.0000
Andesite Breccias and Flows At Black Rock	280.0000	272.3000	272.3000	259.9000
Andesite Flow Breccia	38.0000	33.9000	33.9000	28.1000
Andesite of Sells	23.0300	20.4400	23.0300	20.4400
Andesite Prophyry, Graphic Granodiorite, Diorite	113.0000	100.5000	72.1000	66.0000
Andesite, Basalt, Latite, Quartz Latit	333.0000	323.2000	315.2000	308.0000
Andesitic and Basaltic Dikes, Plugs	5.3330	3.6000	0.0117	0.0000
Andrews Fm	443.4000	438.5000	427.4000	423.0000
Andrews Fm	513.0000	501.0000	513.0000	501.0000
Aneth Fm	387.7000	382.7000	382.7000	379.0000
Aneth Fm	382.7000	379.0000	382.7000	379.0000
Angayucham Volcanics	305.0000	298.9000	272.3000	259.9000
Angola Lares Fm	28.1000	23.0300	23.0300	20.4400
Angola Mbr of West Falls Fm	379.0000	372.2000	379.0000	372.2000
Angola Shale	379.0000	372.2000	379.0000	372.2000
Angora Peak Mbr of Astoria Fm	23.0300	20.4400	20.4400	15.9700
Angostura Fm	83.6000	72.1000	72.1000	66.0000
Anguille	358.9000	348.0000	348.0000	340.0000
Animas Fm	72.1000	66.0000	59.2000	56.0000
Anita Fm	66.0000	61.6000	56.0000	47.8000
Ankareh Fm	237.0000	228.0000	208.5000	201.3000
Ankareh Fm	252.1700	247.2000	252.1700	247.2000
Annick Gp	37.0000	36.0000	34.3000	27.3000
Annona Fm	83.6000	72.1000	83.6000	72.1000
Annville Fm	464.0000	458.4000	464.0000	458.4000
Anse Cascon	438.5000	433.4000	438.5000	433.4000
Ansonia Granitic Gneiss	458.4000	456.5000	453.5000	452.0000
Antelope Range Fm	348.0000	340.0000	340.0000	333.0000
Antelope Shale Mbr	13.8200	11.6200	11.6200	7.2460
Antelope Valley Limestone	470.0000	464.0000	464.0000	458.4000
Antelope Valley Limestone	477.7000	470.0000	464.0000	458.4000
Antelope Valley Limestone	477.7000	470.0000	458.4000	456.5000
Antero Fm	33.9000	28.1000	33.9000	28.1000
Antes Fm	454.5000	453.5000	454.5000	453.5000
Antes Shale	454.5000	453.5000	454.5000	453.5000
Antietam Fm	541.0000	513.0000	541.0000	513.0000
Antler	358.9000	346.7000	272.3000	268.8000
Antler	348.0000	340.0000	323.2000	315.2000
Antler Peak Limestone	307.0000	305.0000	298.9000	280.0000
Antlers Fm	125.0000	113.0000	125.0000	113.0000
Antoinette	307.0000	305.0000	298.9000	280.0000
Antoinette	305.0000	298.9000	298.9000	280.0000
Antoinette Fm	307.0000	305.0000	305.0000	298.9000
Antoinette Fm	308.0000	307.0000	308.0000	307.0000
Antrim Shale	379.0000	372.2000	365.0000	358.9000
Antrim Shale	387.7000	382.7000	365.0000	358.9000
Antrim Shale	382.7000	379.0000	365.0000	358.9000
Anvil   Mbr	113.0000	100.5000	100.5000	93.9000
Anvil Allochthon	358.9000	346.7000	254.1400	252.1700
Anvil Allochthon	372.2000	358.9000	254.1400	252.1700
Anvil Allochthon Fm	358.9000	346.7000	254.1400	252.1700
Anvil Range	298.9000	280.0000	272.3000	259.9000
Anvil Range	315.2000	308.0000	305.0000	298.9000
Aoea Sandstone	34.3000	27.3000	34.3000	27.3000
Aotea Fm	34.3000	27.3000	34.3000	27.3000
Aotea Fm	34.3000	27.3000	27.3000	25.2000
Apache Canyon Fm	113.0000	100.5000	113.0000	100.5000
Apex Conglomerate	33.9000	28.1000	33.9000	28.1000
aphanitic and pelletoid limestone	496.8000	492.5000	438.5000	433.4000
Apison Shale Mbr of Rome Fm	541.0000	513.0000	541.0000	513.0000
Aplington Fm	365.0000	358.9000	365.0000	358.9000
Aplite Dikes At Dry Lake	168.3000	166.1000	166.1000	163.5000
Apolo Fm	66.0000	61.6000	66.0000	61.6000
Appekunny	1600.0000	1000.0000	1600.0000	1000.0000
Appekunny Fm	1600.0000	1000.0000	1600.0000	1000.0000
Appekunny Fm	1400.0000	1300.0000	1400.0000	1300.0000
Appekunny Fm	2500.0000	541.0000	2500.0000	541.0000
